number,categoryId,nameEl,nameEn,nameZh,price,spicyLevel
109,beef,Μοσχάρι Sichuan,Sichuan beef,四川牛肉,13.90,3
110,beef,Μοσχάρι με λαχανικά,Beef with vegetables,蔬菜牛肉,13.90,
111,beef,Μοσχάρι με σάλτσα κάρυ,Beef with curry sauce,咖喱牛肉,13.90,
112,beef,Μοσχάρι με σάλτσα στρειδιών,Beef with oyster sauce,蚝油牛肉,13.90,
113,beef,Μοσχάρι με μπρόκολο,Beef with broccoli,西兰花牛肉,13.90,
114,beef,Μοσχάρι με πιπερόριζα & κρεμμύδια,Beef with ginger & onions,姜葱牛肉,17.90,
115,beef,Σούπα μοσχαριού με chilli,Sichuan beef chilli soup (big),四川水煮牛肉（大份）,29.90,3
120,chicken,Κοτόπουλο με σάλτσα Kung Pao,Chicken with Kung Pao sauce,宫保鸡肉,11.90,1
121,chicken,Κοτόπουλο με σάλτσα Thai,Chicken with Thai sauce,泰汁鸡肉,11.90,2
122,chicken,Κοτόπουλο με σάλτσα μαύρων φασολιών,Chicken with black bean sauce,豆豉鸡肉,11.90,
123,chicken,Κοτόπουλο με αλάτι & πιπέρι,Chicken with salt & pepper,椒盐鸡肉,11.90,1
124,chicken,Κοτόπουλο Sichuan,Sichuan chicken,四川鸡肉,12.90,3
125,chicken,Κοτόπουλο με λεμόνι,Chicken with lemon,柠檬鸡,11.90,
126,chicken,Κοτόπουλο με λαχανικά,Chicken with vegetables,蔬菜鸡肉,11.90,
127,chicken,Κοτόπουλο με σάλτσα κάρυ,Chicken with curry sauce,咖喱鸡,11.90,
128,chicken,Κοτόπουλο με σάλτσα στρειδιών,Chicken with oyster sauce,蚝油鸡肉,11.90,
129,chicken,Γλυκόξινο κοτόπουλο,Sweet & sour chicken,咕噜鸡,11.90,
130,chicken,Κοτόπουλο με μπρόκολο,Chicken with broccoli,西兰花鸡肉,11.90,
131,chicken,Κοτόπουλο με τσίλι,Chicken with chilli,辣椒鸡肉,12.90,3
151,pork,Χοιρινό με σάλτσα Kung Pao,Pork with Kung Pao sauce,宫保猪肉,11.90,1
152,pork,Χοιρινό με σάλτσα Thai,Pork with Thai sauce,泰汁猪肉,11.90,2
153,pork,Χοιρινό με σάλτσα μαύρων φασολιών,Pork with black bean sauce,豆豉猪肉,11.90,
